ID,Text,AudioSnippetPath
20941_24070,animales .,/content/all_data/20941_24070.mp3
24123_27047,una ceb(r)a .,/content/all_data/24123_27047.mp3
28285_30314,una jirafa .,/content/all_data/28285_30314.mp3
40063_42425,se para aquí .,/content/all_data/40063_42425.mp3
44502_46332,+< sí .,/content/all_data/44502_46332.mp3
50620_55211,+< el venado no va en la selva .,/content/all_data/50620_55211.mp3
57628_61156,va aquí .,/content/all_data/57628_61156.mp3
63348_66155,va en la xxx [=! places toy] .,/content/all_data/63348_66155.mp3
70355_72110,una +...,/content/all_data/70355_72110.mp3
72480_74521,un tigre .,/content/all_data/72480_74521.mp3
80210_84499,un pez .,/content/all_data/80210_84499.mp3
86641_89562,en la agua aquí .,/content/all_data/86641_89562.mp3
88562_91467,+< adónde va este ?,/content/all_data/88562_91467.mp3
92890_94626,aquí .,/content/all_data/92890_94626.mp3
96850_100817,en la agua .,/content/all_data/96850_100817.mp3
103697_105801,un venado .,/content/all_data/103697_105801.mp3
111786_114570,otro venado .,/content/all_data/111786_114570.mp3
116186_118778,un leopardo .,/content/all_data/116186_118778.mp3
120529_122688,un lobo .,/content/all_data/120529_122688.mp3
123976_126784,xxx la nieve .,/content/all_data/123976_126784.mp3
134437_136772,baa .,/content/all_data/134437_136772.mp3
135772_138612,y e(s)to dónde va ?,/content/all_data/135772_138612.mp3
140908_144628,aquí va .,/content/all_data/140908_144628.mp3
143628_148444,si va .,/content/all_data/143628_148444.mp3
151508_154276,esa va en el agua .,/content/all_data/151508_154276.mp3
155641_158007,una foca xxx .,/content/all_data/155641_158007.mp3
185235_188634,mira un delfín .,/content/all_data/185235_188634.mp3
192537_197105,aquí .,/content/all_data/192537_197105.mp3
198914_202754,ouch .,/content/all_data/198914_202754.mp3
201754_205180,[- eng] it's dangerous .,/content/all_data/201754_205180.mp3
205053_207106,águila .,/content/all_data/205053_207106.mp3
206106_211651,0 [=! makes eagle noises] .,/content/all_data/206106_211651.mp3
210651_215332,0 [=! animal noise] .,/content/all_data/210651_215332.mp3
222406_224929,ot(r)o pez .,/content/all_data/222406_224929.mp3
227806_230181,una cebra .,/content/all_data/227806_230181.mp3
230278_233456,camello .,/content/all_data/230278_233456.mp3
232456_235977,camello .,/content/all_data/232456_235977.mp3
237403_239651,foca marina .,/content/all_data/237403_239651.mp3
238651_240876,oops .,/content/all_data/238651_240876.mp3
239876_242181,foca marina .,/content/all_data/239876_242181.mp3
243170_246677,un pato .,/content/all_data/243170_246677.mp3
247117_249333,quack [/] quack .,/content/all_data/247117_249333.mp3
253752_255554,ouch .,/content/all_data/253752_255554.mp3
265440_267528,es un pez .,/content/all_data/265440_267528.mp3
266528_268876,lo vimos .,/content/all_data/266528_268876.mp3
274003_277883,aquí .,/content/all_data/274003_277883.mp3
283825_285701,estrella de mar .,/content/all_data/283825_285701.mp3
286950_291140,xxx xxx .,/content/all_data/286950_291140.mp3
296135_300448,<en la> [/] en la selva .,/content/all_data/296135_300448.mp3
304553_306922,es pequeño .,/content/all_data/304553_306922.mp3
313282_315937,va aquí .,/content/all_data/313282_315937.mp3
318036_323076,va eh@fp aquí .,/content/all_data/318036_323076.mp3
335678_338099,[- hun] un lobster .,/content/all_data/335678_338099.mp3
343781_346083,un tiburón .,/content/all_data/343781_346083.mp3
345953_348629,qué es este ?,/content/all_data/345953_348629.mp3
348866_350993,aquí .,/content/all_data/348866_350993.mp3
356766_364368,arbolito .,/content/all_data/356766_364368.mp3
368574_372918,va aquí .,/content/all_data/368574_372918.mp3
377491_379458,llama .,/content/all_data/377491_379458.mp3
378458_381712,no se para la llama .,/content/all_data/378458_381712.mp3
385423_387526,llama .,/content/all_data/385423_387526.mp3
395433_399884,está muy g(r)ande .,/content/all_data/395433_399884.mp3
415086_416720,sí .,/content/all_data/415086_416720.mp3
434292_437263,no .,/content/all_data/434292_437263.mp3
436263_439477,habla .,/content/all_data/436263_439477.mp3
438477_441099,sí .,/content/all_data/438477_441099.mp3
444091_446347,xxx xxx .,/content/all_data/444091_446347.mp3
452985_458213,vamos a jugar ?,/content/all_data/452985_458213.mp3
483222_485216,um@fp .,/content/all_data/483222_485216.mp3
484216_487776,eh@fp .,/content/all_data/484216_487776.mp3
491562_495672,sí .,/content/all_data/491562_495672.mp3
494672_500222,sí .,/content/all_data/494672_500222.mp3
500759_504651,hola .,/content/all_data/500759_504651.mp3
517796_523025,+< <y tú> [/] y tú también ?,/content/all_data/517796_523025.mp3
535696_539793,mi hermano .,/content/all_data/535696_539793.mp3
563392_567950,aquí está [=! gestures] .,/content/all_data/563392_567950.mp3
583998_588524,escojo este .,/content/all_data/583998_588524.mp3
587524_591383,sí .,/content/all_data/587524_591383.mp3
590383_593439,xxx .,/content/all_data/590383_593439.mp3
595766_597563,sí !,/content/all_data/595766_597563.mp3
612125_615738,yo uso este .,/content/all_data/612125_615738.mp3
625376_628965,aquí está .,/content/all_data/625376_628965.mp3
629939_634275,brincó !,/content/all_data/629939_634275.mp3
637982_641640,xxx .,/content/all_data/637982_641640.mp3
645653_647299,aquí está .,/content/all_data/645653_647299.mp3
655832_661546,le gustó .,/content/all_data/655832_661546.mp3
671630_675119,+< xxx .,/content/all_data/671630_675119.mp3
677980_679835,sí .,/content/all_data/677980_679835.mp3
678835_682114,se resbaló .,/content/all_data/678835_682114.mp3
695553_698275,no .,/content/all_data/695553_698275.mp3
707290_709342,okay .,/content/all_data/707290_709342.mp3
721153_724660,la p(r)óxima amigos .,/content/all_data/721153_724660.mp3
723660_728154,hasta la p(r)óxima .,/content/all_data/723660_728154.mp3
743202_745770,ya terminamos .,/content/all_data/743202_745770.mp3
744770_747590,ahora ese .,/content/all_data/744770_747590.mp3
750080_752266,sí !,/content/all_data/750080_752266.mp3
751266_755080,e(s)to [/] e(s)to es la toalla .,/content/all_data/751266_755080.mp3
758886_762809,voy a sentarse .,/content/all_data/758886_762809.mp3
768660_772026,sí .,/content/all_data/768660_772026.mp3
771026_773913,sí .,/content/all_data/771026_773913.mp3
772913_776002,sí .,/content/all_data/772913_776002.mp3
786634_789557,y para Tito .,/content/all_data/786634_789557.mp3
793046_796033,un [/] un choclo .,/content/all_data/793046_796033.mp3
795033_800792,y este para Angelita .,/content/all_data/795033_800792.mp3
806203_810436,es +...,/content/all_data/806203_810436.mp3
815655_817375,qué es este ?,/content/all_data/815655_817375.mp3
822351_824538,manzana .,/content/all_data/822351_824538.mp3
826211_829800,a la tía .,/content/all_data/826211_829800.mp3
830348_833687,unas uvas .,/content/all_data/830348_833687.mp3
835671_839262,dónde están los platos ?,/content/all_data/835671_839262.mp3
846718_848904,agua .,/content/all_data/846718_848904.mp3
851781_853449,té .,/content/all_data/851781_853449.mp3
852449_859023,Tito le gustó .,/content/all_data/852449_859023.mp3
874246_876652,papitas fritas .,/content/all_data/874246_876652.mp3
892496_895431,con [/] con este .,/content/all_data/892496_895431.mp3
896273_898226,con pan .,/content/all_data/896273_898226.mp3
898914_901722,[- hun] un [/] un bagel .,/content/all_data/898914_901722.mp3
906167_908637,un pan .,/content/all_data/906167_908637.mp3
916996_919283,una lechuga .,/content/all_data/916996_919283.mp3
921791_924633,a [/] a todos .,/content/all_data/921791_924633.mp3
925549_927767,una pizza .,/content/all_data/925549_927767.mp3
926767_931973,va a comer pizza .,/content/all_data/926767_931973.mp3
932187_933936,sí .,/content/all_data/932187_933936.mp3
934441_936829,un limón .,/content/all_data/934441_936829.mp3
948103_949633,sí .,/content/all_data/948103_949633.mp3
960010_962163,otra pizza .,/content/all_data/960010_962163.mp3
969217_973202,otro aquí .,/content/all_data/969217_973202.mp3
973722_975702,mira .,/content/all_data/973722_975702.mp3
986500_988442,tomate .,/content/all_data/986500_988442.mp3
1004884_1006953,así .,/content/all_data/1004884_1006953.mp3
1007673_1011345,toma .,/content/all_data/1007673_1011345.mp3
1010345_1013501,un sándwich .,/content/all_data/1010345_1013501.mp3
1013556_1017298,un [/] un tenedor .,/content/all_data/1013556_1017298.mp3
1019387_1022122,un cuchillo .,/content/all_data/1019387_1022122.mp3
1022646_1024984,ahí .,/content/all_data/1022646_1024984.mp3
1026291_1029210,un tenedor .,/content/all_data/1026291_1029210.mp3
1030766_1037083,y va um@fp aquí .,/content/all_data/1030766_1037083.mp3
1038271_1041043,una cuchara .,/content/all_data/1038271_1041043.mp3
1043636_1046928,va aquí .,/content/all_data/1043636_1046928.mp3
1060254_1063159,puedo tener más ?,/content/all_data/1060254_1063159.mp3
1069997_1073102,un salsa .,/content/all_data/1069997_1073102.mp3
1079688_1083280,[- eng] cherries .,/content/all_data/1079688_1083280.mp3
1089723_1091760,mmm .,/content/all_data/1089723_1091760.mp3
1091713_1101004,+< xxx .,/content/all_data/1091713_1101004.mp3
1114372_1116243,helados .,/content/all_data/1114372_1116243.mp3
1124101_1126588,+< [- eng] yeah .,/content/all_data/1124101_1126588.mp3
1128128_1130617,uno de ellos .,/content/all_data/1128128_1130617.mp3
1147786_1151928,no es bueno para la barriga .,/content/all_data/1147786_1151928.mp3
1160201_1162705,una botella .,/content/all_data/1160201_1162705.mp3
1162591_1165197,+< xxx .,/content/all_data/1162591_1165197.mp3
1164197_1168153,xxx [=! kep] .,/content/all_data/1164197_1168153.mp3
1175150_1177486,un jugo .,/content/all_data/1175150_1177486.mp3
1178292_1180189,+< xxx .,/content/all_data/1178292_1180189.mp3
1179189_1182925,jugo .,/content/all_data/1179189_1182925.mp3
1190496_1194048,una pizza .,/content/all_data/1190496_1194048.mp3
1195604_1199042,[- hun] un bagel .,/content/all_data/1195604_1199042.mp3
1199296_1200931,donat .,/content/all_data/1199296_1200931.mp3
1201802_1205210,xxx con una crema rosada .,/content/all_data/1201802_1205210.mp3
1223013_1227792,0 [=! child places toy in plate] .,/content/all_data/1223013_1227792.mp3
1226792_1230096,xxx tienes el tuyo [=! gestures] .,/content/all_data/1226792_1230096.mp3
1234569_1237548,este es mío [=! gestures] .,/content/all_data/1234569_1237548.mp3
1237902_1239738,sí .,/content/all_data/1237902_1239738.mp3
1239214_1241404,primero la pizza .,/content/all_data/1239214_1241404.mp3
1245468_1247056,sí .,/content/all_data/1245468_1247056.mp3
1253027_1254929,sí .,/content/all_data/1253027_1254929.mp3
1257889_1261345,+< no xxx .,/content/all_data/1257889_1261345.mp3
1269026_1270593,mmm .,/content/all_data/1269026_1270593.mp3
1271781_1274719,sí .,/content/all_data/1271781_1274719.mp3
1275510_1277430,este .,/content/all_data/1275510_1277430.mp3
1278207_1279874,sí .,/content/all_data/1278207_1279874.mp3
1288513_1290382,[- eng] yeah .,/content/all_data/1288513_1290382.mp3
1309716_1313928,mmm .,/content/all_data/1309716_1313928.mp3
1319896_1321379,sí .,/content/all_data/1319896_1321379.mp3
1341570_1343165,sí .,/content/all_data/1341570_1343165.mp3
1343823_1346305,tengo uno .,/content/all_data/1343823_1346305.mp3
1348454_1350245,el g(r)ande .,/content/all_data/1348454_1350245.mp3
1350616_1352189,este [=! child grabs larger apple] .,/content/all_data/1350616_1352189.mp3
1363885_1365387,sí !,/content/all_data/1363885_1365387.mp3
1403061_1404377,sí .,/content/all_data/1403061_1404377.mp3
1405565_1408509,no frutas .,/content/all_data/1405565_1408509.mp3
1428949_1432500,+< sí .,/content/all_data/1428949_1432500.mp3
1454314_1457200,+< xxx .,/content/all_data/1454314_1457200.mp3
1470800_1473201,[- eng] good_night .,/content/all_data/1470800_1473201.mp3
1476474_1478761,ya no quiero este .,/content/all_data/1476474_1478761.mp3
1478579_1480165,no .,/content/all_data/1478579_1480165.mp3
1488189_1490141,no quiero .,/content/all_data/1488189_1490141.mp3
1531749_1533283,sí .,/content/all_data/1531749_1533283.mp3
1533457_1535477,un vaca .,/content/all_data/1533457_1535477.mp3
1534477_1539788,un [/] un xxx .,/content/all_data/1534477_1539788.mp3
